symptoms	gold sentences	generated sentences
reflux,hiccup,heartburn,vomit,nausea	Is the pain a bout or a constant pain? Are there other discomforts? Such as nausea, vomiting, acid reflux, belching, hiccups, heartburn, etc.	Are there any other symptoms of hiccup, nausea, vomiting, etc.? Have you ever had a stomach disease?
nausea,hiccup	Then you have had stomach problems before, and now you have pain in your heart's mouth again, accompanied by hiccups and nausea. Do you have any stomach medicine at home now?	What are the symptoms of hiccup?
fever,stomach ache	Do you have abdominal pain or fever?	Are there any symptoms of stomach ache or fever?
stomachache,bloating,hiccup,vomit,nausea	Are there any hiccups, bloating or stomach pain, nausea and vomiting?	Are there any other symptoms of stomach pain, such as bloating, hiccup, etc.?
hematemesis,fever,vomit,reflux	Excuse me, do you have fever, acid reflux, vomiting, etc.? Are there any symptoms of hematemesis?	What are the symptoms of hepatitis? Have you ever had a fever, vomiting, etc.?
gastrointestinal disorders,vomit	Yes! Consider gastric mucosal damage caused by vomiting. At present, it is more likely to be caused by gastritis or gastrointestinal dysfunction!	What's wrong with the gastrointestinal disorders?
reflux,heartburn,stomach ache	Do you have abdominal pain? Is there any acid reflux heartburn?	What are the symptoms of stomach ache? Is the shit normal?
vomit	Observe first! Vomiting is obvious, don't eat for the time being!	How long has this been going on? Have you got a bad stomach?
exhaust	Is the pain constant? Not much fart.	How many times a day do you have to take a shit?
bloating	Stomach distension is more common in gastritis and lack of gastric motility. It is recommended to take some stomach-protective and gastrointestinal motility drugs, such as omeprazole, risperidone or mosapride tablets for symptomatic treatment, and a light diet, every meal It is enough to eat 70% to 80% full, so as not to increase the burden of gastrointestinal digestion and aggravate symptoms.	How many times a day do you have to take a shit?
reflux,bloating,hiccup	There is no acid reflux hiccups. Is there any bloating?	How many times a day do you have to take a shit? Have you had a stomach attack?
indigestion,reflux	Your symptom description considers chronic gastritis, gastroesophageal reflux, gastric insufficiency and indigestion.	How long has this been going on? Indigestion? Reflux?
bloating,reflux	You should pay attention to the diet, eat small meals and eat soft foods; chew slowly and avoid overeating; pay attention to avoiding mouth, do not eat cold, hot, hard, spicy, or sticky foods, avoid smoking and alcohol, Drink less strong tea and coffee and eat spicy, overheated and rough foods. Eat fewer foods that are prone to flatulence, such as potatoes, sweet potatoes, onions, boiled soybeans, etc.; those with bile reflux should eat more lean meat, poultry, and fish. , Milk and other high-protein and low-fat diets; avoid taking drugs that are irritating to the stomach (such as sodium salicylate, indomethacin, phenylbutazone, aspirin, etc.); relieve mental tension, maintain optimism, and improve immunity Function and enhance disease resistance; pay attention to the combination of work and rest, and exercise properly. Eat foods that invigorate the spleen and stomach, such as yam, lotus seeds, soybeans, grains, lentils, coin seed, hawthorn, banana, jujube, chestnut and pig lean meat, beef, chicken, milk, soy products, etc.	How long has it been? Is it bloated?
loose stool	Stool every few days? Is it watery or bad?	How many times a day do you take a shit?
sputum,fever,cough	It's not like, pneumonia has fever, cough and sputum.	What are the symptoms of spleen, cough, etc.?
black stool,stomachache	You need to stay dark and go to the hospital for a laboratory test. Hang up and eliminate within. Is the stomach okay? Do you have long-term stomach pain?	How many times a day do you have to take a shit? Does it hurt?
black stool	No black poop.	How many times a day do you have to take a shit?
headache	Do you have gastrointestinal symptoms first and then headache symptoms? Is there anybody aches?	How long has this been going on? Have you had a headache?
weight loss	If there is no weight loss, consider functional bowel disease. Have you had any stress or irregular work and rest recently?	How long has this been going on? Does it hurt?
dysbacteriosis	According to your description of the condition and related symptoms, consider the imbalance of intestinal flora and lack of gastric motility.	What's the cause of the gastrointestinal disorder?
gastrointestinal discomfort,exhaust	Now, apart from farting a lot, is it uncomfortable in the stomach?	How long has this been going on? Does it hurt in the stomach?
fever,stomachache	Omeprazole is for stomach pain! Take the above two medicines for a few days! It's fine! There is no fever.	What's the cause of the shit? Is it fever, stomachache?
stomachache	After the blood routine is normal, if there is still stomach pain, omeprazole can be taken orally to inhibit gastric acid secretion and relieve symptoms.	What's the cause of the stomach ache?
diarrhea,fever	There was no fever for diarrhea in the first few days, right?	How many times a day do you have to take a shit?
diarrhea,cramps	Most of these cases are intestinal spasms caused by intestinal inflammation. Have you taken medicine for diarrhea in the past two days?	How many times a day do you have to take a shit?
blood in stool,stomach ache	Is there any case of abdominal pain and blood in the stool?	How many times a day do you have to take a shit? Do you have a stomach ache?
bloating,reflux,hiccup,nausea,stomach ache	Do you have frequent acid reflux, hiccups and nausea? Do you have abdominal distension and abdominal pain? Is the stool smooth?	What's the cause of the stomach ache? Is the shit normal?
nausea,bloating,stomachache	Is the stomach painful? Do you want to vomit?	Are there any symptoms of stomach ache, nausea, vomiting?
gastrointestinal discomfort,bloating	Drugs can be taken with ginseng spleen pills and lactic acid bacteria tablets to adjust the intestinal function. If the stomach discomfort due to bloating is combined, they can be treated together.	How long has this been going on? Does it hurt in the stomach?
diarrhea,heartburn,reflux	Is there any acid reflux heartburn? Constipate? Diarrhea?	How many times a day do you have to take a shit? Have you had a fever, diarrhea, diarrhea?
nausea,fever,vomit	Do you have a fever? Do you have nausea and vomiting? Which side is the painful part?	What are the symptoms of gastrointestinal inflammation? What are you talking about? Is it nausea, vomiting, etc.
dehydration	Severe cases cause dehydration, electrolyte disturbances, and black borders that require laboratory tests to rule out gastrointestinal bleeding. Test stool.	What's the cause of the dehydration?
sticky stool	Does the stool have mucus foam? Did you have difficulty defecation when you had a bowel movement in the morning?	How many times a day do you have to take a shit? Is it sticky?
bloating,stomachache	Faisal anal plugs are effective. If stomach pain and flatulence are not serious, it is recommended to try Faisal anal plugs first, and take medicine in no hurry.	How long has this been going on? How many times a day do you have a stomachache?
diarrhea,bloating,reflux,vomit,heartburn,nausea,stomach ache	Are there specific symptoms, such as abdominal pain, bloating, diarrhea, nausea, vomiting, heartburn, acid reflux.	Are there any other symptoms of stomach ache, nausea, vomiting, diarrhea, etc.?
diarrhea,nausea,vomit,stomach ache	Do you usually have symptoms of nausea, vomiting, abdominal pain, and diarrhea?	Are there any other symptoms? Diarrhea, stomach ache, etc.
bacterial infections	Take your individual temperature. If your body temperature exceeds 38 degrees Celsius, it is recommended that you go to the hospital for blood tests and routine stool tests. If it indicates bacterial infection, you need to re-infusion and anti-infective treatment.	What's wrong with the bacterial infection?
fever,loose stool,bloating,stomach ache	Hello, do you have a fever? Do you have abdominal pain and bloating? Is it watery? Do you have a cold in your abdomen?	How many times a day do you have to take a shit? Do you have a stomach ache?
anorexia	You need to drink plenty of water, and you can take some antipyretic acetaminophen.	What's wrong with anorexia?
diarrhea,bowel	Stomach growling is a sign of diarrhea?	How many times a day do you have a diarrhea?
cramps,stomach ache	Generally, periumbilical pain is mostly small intestine spasm.	What are the symptoms of stomach ache? What are you talking about?
allergy	The thing that caused the allergy is gone, but the reaction caused by the allergy is still there.	What's the cause of the allergy?
anorexia,stomach ache	Hello, are all fasting pains? Will it be relieved after eating?	What are the symptoms of anorexia, stomach ache?
diarrhea,fever,vomit,nausea,stomach ache	Acute gastroenteritis is an acute inflammation of the gastrointestinal mucosa. The main clinical manifestations are nausea, vomiting, abdominal pain, diarrhea, fever and so on. This disease is common in summer and autumn, and its occurrence is mostly due to improper diet, overeating, or ingestion of raw, cold, rotten, dirty and unclean food.	Are there any other symptoms of stomach ache, diarrhea, vomiting, etc.?
cramps,indigestion	Just observe it again, it may be intestinal cramps or indigestion.	What's the cause of the indigestion?
fever,reflux,hiccup,heartburn,weight loss	Um, do you have acid reflux, belching and heartburn? Is there a fever? How is your appetite lately? Is there a weight change?	How long has it been? Is there a fever, a hiccup, or is there any weight loss?
stomachache,diarrhea,bloating,reflux,hiccup,vomit	Are there acid reflux, hiccups, vomiting, bloating, stomach pain, constipation, diarrhea?	Are there any other symptoms? Diarrhea, constipation, hiccup, etc., are there any symptoms of stomach pain?
sore throat,stomach ache	What is the specific part of the abdominal pain? Sore throat, do you take any medicine? On the belly button.	How long has it been? Is there a stomach ache?
diarrhea,hemorrhoid	You have sudden diarrhea, usually because you have eaten something bad. Have hemorrhoids before.	How many times a day do you have to take a shit?
chest pain,heartburn	Will there be heartburn or pain in my chest?	How long has it been? Have you had a fever, chest pain or something?
bloating,stomachache,hiccup	Hello. Hiccups, bloating and belching? Does the stomach hurt?	How many times a day do you have to take a hiccup?
hiccup,heartburn,reflux	There are no symptoms such as acid reflux, heartburn, and hiccups.	What's the cause of the hiccup? Have you ever had a fever?
anemia	Of course, it will have an impact. Isn't it anemia after frequent bleeding?	How many times a day do you have to take a shit?
reflux,stomach ache	No abdominal pain, acid reflux or other discomforts? Are you not pregnant?	What's wrong with your stomach? Have you had a diarrhea?
intestinal obstruction	That should not be an intestinal obstruction, so don't worry. That's also fine.	How long has this been going on? Is there anything else that doesn't work?
sticky stool,blood in stool	Hello, is there any mucus, pus and blood in the stool?	How many times a day do you have to take a shit? Is it sticky?
fever,vomit,blood in stool,nausea,stomach ache	Hello! What does the stool look like? Is there pus and blood in the stool? What part of the stomach hurts? Is there nausea, vomiting? Do you have a fever?	Are there any other symptoms of stomach ache?
diarrhea,bloating	Do you have diarrhea and bloating?	How many times a day do you have to take a shit?
bloating,heartburn,reflux	Are there any symptoms of acid reflux, heartburn, and bloating?	What are the symptoms of bloating, heartburn, reflux, etc.?
diarrhea,vomit	Unless the vomiting and diarrhea are aggravated, if this is the case, you can continue to take medicine.	How many times a day do you have to take a diarrhea?
diarrhea,nausea,vomit	Are you nauseous and vomiting now? Diarrhea?	How many times a day do you have a diarrhea?
reflux,hiccup,vomit,nausea,stomach ache	Nausea and vomiting, acid reflux, hiccups, abdominal pain?	What are the symptoms of stomach ache? Is the shit normal?
bitter	Is your mouth bitter?	How long has this been going on? Is it bitter?
diarrhea,gastrointestinal discomfort	Oh, if you have diarrhea as soon as you eat it, if your stomach is uncomfortable, and it is heavier at night, then consider acute gastroenteritis, which is related to the unclean sauerkraut fish; if it is normal during the day and there is no discomfort at all, and it only hurts at night, then take sauerkraut The fish has little to do,	How long has this been going on? Have you had a bad stomach?
bloating,reflux,heartburn,vomit,nausea	Do you have heartburn, vomiting acid, nausea, vomiting, and bloating?	Are there any other symptoms of bloating, fever, vomiting, etc.?
nausea	Is it still disgusting now?	How many times a day do you have to take a shit?
sputum,fever	Do you have a fever and sputum? Have you had a chest CT scan? Do you have pharyngitis?	What's wrong with the shit? Is there a fever?
bitter,bloating,reflux,anorexia,heartburn	After a meal, bitter mouth must first eliminate the problem of cholecystitis, and then sometimes reflux gastritis can also appear. Excuse me, are there any other discomforts besides the bitter mouth after a meal? Such as anorexia and greasy or heartburn, acid reflux and bloating?	How many times a day do you have to take a shit? Is there anorexia, nausea, vomiting, etc.?
backache	Most renal colic is not in the back pain.	What's the cause of the backache?
diarrhea,blood in stool	According to the symptoms, if you have no diarrhea, there will be no pus and blood in the stool. It can be reduced slowly. Only drink salvo.	How many times a day do you have to take a shit? Have you had a diarrhea?
nausea,reflux	Is it nauseating?	What's the cause of the gastrointestinal inflammation? Have you had a diarrhea?
gastrointestinal disorders,bloating	In this case, it is necessary to consider the intestinal dysfunction, which may be related to flatulence.	What's the cause of the gastrointestinal disorders?
diarrhea,dehydration,fatigue	The lack of energy may be caused by a lot of diarrhea, dehydration and electrolyte imbalance, you should drink plenty of water, you can eat millet oatmeal to add water and energy.	How many times a day do you have to take a shit? Do you have a diarrhea, dehydration, fatigue?
bloating,reflux,hiccup,vomit,heartburn,nausea,stomach ache	Do you have abdominal pain or bloating? Is there nausea or vomiting? Is there any acid reflux or heartburn? Are there hiccups?	Are there any other symptoms of stomach ache, such as bloating, hiccups, vomiting, etc.?
hematemesis	How much blood is vomiting? How many mouthfuls did you vomit?	How long has it been? Have you ever had a stomach disease?
allergy,helicobacter infection	To eradicate Helicobacter pylori, you usually need to take 4 kinds of drugs for 2 weeks, amoxicillin, azithromycin, and metronidazole. Choose 2 according to whether you have penicillin allergy or not, after meals. Choose one of Omeprazole, Pantoprazole, Lansoprazole, Omeprazole and Lion DELE, and eat before meals. Re-examined one month after stopping the drug.	What's wrong with the phantom snails?
vomit,reflux	Did you spit it out? Reverse acid water?	What's wrong with you? Is it vomiting, reflux?
nausea,bloating	When eating outside, you should pay attention to dietary hygiene. Eat an easy-to-digest diet, not too greasy. It is important to maintain smooth bowel movements. It is recommended to exercise more and drink plenty of water. Your gastrointestinal motility is not good, so you will have nausea, bloating, and trouble after eating. The feeling of going.	How many times a day do you have to take a shit? Have you had a diarrhea?
stomachache,heartburn,reflux	Color Doppler ultrasound can't tell, but you have acid reflux, heartburn and stomachache. Consider gastritis.	What are the symptoms of stomach pain? Have you ever had a fever?
heartburn,exhaust,reflux	Is there much exhaust? Is there a heartburn and acid reflux?	What's the cause of the gastrointestinal inflammation? Have you had a heart attack?
perianal pain,hemorrhoid	Hello, how long has this situation been? Is there any pain around the anus? Do you have hemorrhoids?	Are there any other symptoms of hemorrhoids? Is the shit normal?
stomachache,stomach ache	Many gastrointestinal problems are more painful than eating. If you eat something that causes abdominal pain in the future, don't eat that kind of food.	Are there any other symptoms of stomach ache?
restless	If you are anxious, you can also use Density.	How long has this been going on? Is there anything else uncomfortable?
gastrointestinal disorders,indigestion	From your description of the symptoms, consider that the intestinal flora disorder causes indigestion and the absorption function is weakened. First, change your eating habits and focus on light and easy-to-digest foods. At the same time, take Defining orally.	What's wrong with the gastrointestinal disorders? Indigestion?
hiccup,reflux,bloating,stomach ache	Yes, but it is common to have abdominal distension, acid regurgitation, belching and abdominal pain.	What's the cause of the hiccup? Is there a stomach ache?
loose stool,hiccup,reflux	How do you usually eat? Are there hiccups, belching, acid reflux? Are your stools loose? Is it shaped?	How many times a day do you have a hiccup?
fever,vomit	How long has it been, has there been vomiting and fever.	Are there any other symptoms of fever, vomiting, etc.
diarrhea,bloating,vomit,nausea,stomach ache	Do you have nausea, vomiting, bloating, abdominal pain, and diarrhea?	What are the symptoms of stomach ache? How many times a day do you have a diarrhea?
reflux,bloating,stomach ache	Whether there is acid reflux, abdominal pain and bloating. Have you taken Chinese medicine? Is it effective? You have to answer my question.	What's the cause of the stomach ache?
gastrointestinal disorders,anorexia	If the mood is bad and the pressure is high, it will cause gastrointestinal dysfunction, and the effect of taking medicine will not be good.	What's the cause of the anorexia?
hiccup	Hiccups are a normal physiological phenomenon. Do you hiccup badly?	What's the cause of the hiccup?
loose stool,fever	Hmm, is it watery or mushy? Have a fever?	How many times a day do you have to take a shit?
nausea,vomit,blood in stool	Recently, the diet is light and easy to digest, and avoid spicy and greasy foods to keep the mood at ease. Do you have nausea and vomiting? Does the stool bring pus and blood?	What's wrong with the shit? Is there blood, nausea, vomiting, etc.?
diarrhea,dehydration,vomit	1. The general treatment is to stay in bed as much as possible. For mild patients, take glucose-electrolyte solution to supplement the loss of body fluids. If vomiting or significant dehydration persists, 5% to 10% glucose saline and other related electrolytes need to be supplemented intravenously. Encourage the intake of light liquid or semi-liquid food to prevent dehydration or treat mild dehydration. 2. Symptomatic treatment, when necessary, can inject antiemetic and antispasmodics: such as belladonna, 3 times a day. Antidiarrheal medicine: such as Sect, 2 to 3 times a day. 3. Antibacterial Therapeutic effect of antibiotics on this disease is controversial. For infectious diarrhea, targeted antibiotics can be used appropriately. But abuse should be prevented.	How many times a day do you have a diarrhea?
reflux,bloating,indigestion,hiccup	Well, it's mainly belching and acid reflux? Does the bloating feel indigestible?	What are the symptoms of hiccup? Is there anything else that doesn't digest?
diarrhea,loose stool	Hello, are you pulling stools like thin water?	How many times a day do you have to take a shit?
hemorrhoid,stomach ache	It should be abdominal pain and hemorrhoid bleeding caused by constipation.	Are there any other symptoms of stomach ache or hemorrhoids?
urgency,frequent urination	Do you have frequent urination and urgency and painful urination?	How long has this been going on? Is there a urinary frequency?
diarrhea,fever,vomit,reflux	Excuse me, do you have fever, acid reflux, vomiting, etc.? Diarrhea? Is it normal? Are you there? Dear.	How many times a day do you have to take a shit? Have you had a diarrhea, feces, vomiting, etc.?
nausea,bloating,reflux	If abdominal distension, nausea and acid reflux symptoms are obvious, the effect of risperidone should be better. It is best not to drink it temporarily.	How many times a day do you have to take a shit? Is it nausea, vomiting, reflux, etc.?
nausea,bloating,vomit,stomach ache	Hello, do you have abdominal pain and bloating? Feel sick and vomit.	Are there any symptoms of stomach ache, nausea, vomiting?
bloating,indigestion	Consider the symptoms caused by chronic dyspepsia with flatulence.	What's the cause of the indigestion?
hiccup,exhaust	Are there hiccups and farts?	What are the symptoms of hiccup, exhaust, etc.?
hemorrhoid,indigestion	Then consider the possibility of gastritis with indigestion and hemorrhoids.	What are the symptoms of hemorrhoids? Indigestion?
sense of hunger	Does it hurt to feel hungry or to eat?	How long has this been going on? Is there a hunger?
diarrhea,palpitations,dizziness,vomit,headache,nausea	Hello, are there any symptoms of dizziness, headache, nausea, vomiting, or diarrhea? Is there chest tightness and flustered?	Are there any other symptoms? Diarrhea, abdominal pain, nausea, vomiting, etc.
headache,dizziness	Dizziness and headache? If you take a bite, you won’t get anything. At the moment, I still drink plenty of water, urinate frequently, and continue to observe. How long have you been drinking?	What's the cause of the gastrointestinal inflammation? Do you have a headache?
diarrhea,nausea,bloating,vomit	Hello, do you have bloating, diarrhea, nausea and vomiting?	How many times a day do you have to take a shit? Do you have a diarrhea?
diarrhea,bloating,frequent urination,urgency,stomach ache	Hello, do you have abdominal distension, diarrhea or back pain, frequent urination, urgency, and painful urination.	Are there any symptoms of stomach ache, vomiting, diarrhea, etc.?
anemia,blood in stool	Routine blood tests are also necessary. Long-term bleeding from stool can cause anemia.	How many times a day do you have to take a shit? Do you have anemia?
tensile and heavy	Because it is accompanied by census, we must pay attention to finding the cause.	How many times a day do you have to take a shit?
tensile and heavy,blood in stool	Earlier, you said that there is blood on your fingers, combined with dark red stool, census, and particularly sticky. It is considered a symptom caused by enteritis.	How many times a day do you have to take a shit? Do you have a lot of blood?
chest pain	Is there any pain behind the breastbone? Was the sleeping room airtight or the sleeping position right last night?	What's the cause of the chest pain?
loose stool,blood in stool	Are you so watery? Is there pus and blood? How many times have you been in line?	How many times a day do you have to take a shit?
nausea,vomit,reflux	Do you have symptoms such as nausea, vomiting and acid reflux?	What's the cause of the problem? Is it nausea, vomiting, reflux, etc.?
chest pain,heartburn,reflux	There are relationships. Do you have heartburn and acid reflux pain behind the sternum?	How long has it been? Have you had a chest pain, a fever, etc.? Did you eat anything?
diarrhea,loose stool,fever,stomach ache	Hello, how many times did you have diarrhea? Is the stool watery? Are there other discomforts, such as fever? Stomach ache?	How many times a day do you have to take a shit? Do you have a stomach ache?
bowel,vomit	Can relieve vomiting and abdominal bowel.	What's the cause of the gastrointestinal inflammation?
anorexia,indigestion	You may have gastritis. It is recommended to take medicine first, in case it is not easy to go to the hospital's gastroenterology clinic for a gyroscope.	What are the symptoms of anorexia? Indigestion?
chest pain,stomachache,bloating,indigestion,reflux,anorexia,vomit,stomach ache	Generic Name Drug Error Correction Agar wood Shut Tablets are composed of agar wood, woody, magnolia, amour, cardamom, citrus uranium, bupleurum, chrysalis, Jiangsu, turmeric and other flavors. Indications Relieve QI and appetite, relieve depression and relieve pain. Used for full chest and abdomen, stomach pain, vomiting acid water, indigestion, loss of appetite, depression and uncomfortable. Specifications Each tablet weighs 0.3g. The dosage is taken orally, 4 tablets at a time, 2 times a day. Contraindications: Those with chronic illness and QI deficiency should not take it. The medication for pregnant women and lactating women is not yet clear. The medication for children is not clear. Adverse reactions are not clear. Please follow the doctor's advice. Pharmacological effects The experiment has not been carried out and there is no reliable reference. Pharmacokinetics This experiment has not been carried out and there is no reliable reference. Drug interactions If used with other drugs at the same time, drug interactions may occur. Please consult your physician or pharmacist for details. Store in a sealed, cool and dry place* The above content is for reference only!	Are there any other symptoms of stomach pain, such as stomach ache, constipation, anorexia, etc.
headache,fever	Headache and fever can cause gastrointestinal symptoms.	What's the cause of the fever? Have you had a headache?
gastrointestinal discomfort,hiccup,reflux	Is it an upper abdominal discomfort to have acid reflux and belching?	What's wrong with the stomach? Is there a hiccup?
reflux,heartburn,vomit,nausea,stomach ache	Do you have symptoms such as acid reflux, heartburn, upper abdominal pain, or nausea and vomiting?	Are there any other symptoms of stomach ache? Is the shit normal?
nausea,vomit,stomach ache	What unclean food did you eat last night? Does the stomach hurt badly? Do you have nausea and vomiting?	Are there any symptoms of stomach ache, nausea, vomiting?
nausea,indigestion	Nausea means that you are full or have indigestion. The black millet grains should be undigested. It is recommended not to add apples for the time being. You can supplement your baby with lactase or multi-enzyme tablets. When you have time, massage your belly button clockwise. Promote digestion, it should not be a big problem. When indigestion, the stool will be pulled a little more often. You need to add some water properly to wish your baby healthy.	What are the symptoms of indigestion? What are you eating?
black stool,loose stool,blood in stool	How many times do you pull in a day? What color is the stool? Is there any pus, blood, or black stool? Is the stool mushy or syrupy?	How many times a day do you have to take a shit? Is there a lot of blood?
nausea,bloating,vomit	Colic, tingling, or fullness? Is it accompanied by other discomforts: nausea, vomiting, abdominal distension, how about stool?	How many times a day do you have to take a shit? Is it nausea, vomiting, etc.?
fever,reflux,hiccup,heartburn,vomit,nausea	No fever. Is there nausea or vomiting? Is there any acid reflux or heartburn? Are there hiccups?	Are there any other symptoms? Have you ever had a fever, hiccup, vomiting, etc.?
diarrhea,fever,vomit,nausea,gastrointestinal discomfort	Is there any discomfort such as nausea, vomiting, diarrhea and fever?	What's wrong with your stomach? Is there any nausea, vomiting, etc.?
perianal pain,bloating,stomachache	Does stomach pain and flatulence improve after bowel movements? Has there been little activity recently?	How long has this been going on? Is there a stomachache, bloating?
diarrhea,bloating,reflux,vomit,nausea	Whether there is acid reflux, nausea, vomiting, bloating, diarrhea or constipation.	How many times a day do you have to take a shit? Are there any other symptoms, such as diarrhea, bloating, vomiting, etc.?
stomachache,sense of hunger	Young people have more stomach pains when they are hungry, and generally do not show that they are easily hungry after eating.	Are there any other symptoms of stomach pain?
perianal pain,blood in stool	Anal swelling, itching or pain, blood on the surface of the stool.	How many times a day do you have to take a shit? Do you have a stomach ache?
palpitations	Do you have symptoms such as palpitation, trembling hands, sweating, etc.?	How long has it been? Is there a lot of gas?
diarrhea,stomachache,stomach ache	At present, lactic acid bacteria tablets can be taken orally to help digestion, Changyanning tablets, to treat diarrhea, and if abdominal pain occurs, you can take compound vitamin U belladonna tablets to relieve gastrointestinal colic. Drink plenty of hot water and keep warm!	What's the cause of the shit? How many times a day do you have a stomachache?
nausea,bloating,indigestion	The role is to treat abdominal distension, indigestion, nausea, etc.	How many times a day do you have to take a shit? Is it nausea, vomiting, indigestion?
exhaust,stomach ache	Hello, did you catch a cold at night? Is the stomach cramps? Want to relieve stool when it hurts? Will it be relieved after the stool or fart is relieved?	Are there any other symptoms? Stomach ache, exhaust, etc.?
diarrhea,cramps,stomach ache	In response to this consultation, the doctor updated the summary recommendations: consider the abdominal pain caused by intestinal spasm, observe the stool, if you still have abdominal pain and diarrhea, pay attention to acute enteritis, and avoid spicy food that stimulates greasy cold.	What are the symptoms of stomach ache? How many times a day do you have a diarrhea?
black stool,gastrointestinal discomfort	The treatment drug is a prescription drug and needs to be dispensed by the hospital. Green skin test is required before medication. Amoxicillin 0.5 g twice a day to take half an hour after meals; 0.2 g levofloxacin tablets twice a day to take half an hour after meals; colloidal pectin bismuth capsules 0.2 g twice a day to take half an hour before meals; pantoprazole tablets 40 mg twice a day Take half an hour before the next meal. Take it for a total of 14 days. There may be black stools and upset stomach during taking. This is a side effect of the drug, it doesn't matter. Keep taking it. , It is recommended to treat after 2-3 months. Otherwise, treatment after antimicrobial resistance is more troublesome. Because there is no face-to-face diagnosis and treatment, the above is for reference only.	How many times a day do you have to take a shit? Does it hurt in the stomach?
